,Unnamed: 0,id,date,home_team_score,period,postseason,season,visitor_team_score,home_team_id,visitor_team_id,visitor_team_name,visitor_team_name,home_team_name
221,221,857935,2023-01-06,127,4,False,2022,110,21,30,Washington Wizards,Washington Wizards,Oklahoma City Thunder
222,222,857957,2023-01-08,98,4,False,2022,112,24,6,Cleveland Cavaliers,Cleveland Cavaliers,Phoenix Suns
223,223,857975,2023-01-11,125,4,False,2022,114,2,19,New Orleans Pelicans,New Orleans Pelicans,Boston Celtics
224,224,857967,2023-01-10,106,4,False,2022,109,25,22,Orlando Magic,Orlando Magic,Portland Trail Blazers
225,225,857981,2023-01-12,124,4,False,2022,114,28,4,Charlotte Hornets,Charlotte Hornets,Toronto Raptors
226,226,857997,2023-01-14,117,4,False,2022,118,29,23,Philadelphia 76ers,Philadelphia 76ers,Utah Jazz
227,227,857994,2023-01-13,110,4,False,2022,124,5,21,Oklahoma City Thunder,Oklahoma City Thunder,Chicago Bulls
228,228,858009,2023-01-15,140,4,False,2022,123,25,7,Dallas Mavericks,Dallas Mavericks,Portland Trail Blazers
229,229,858018,2023-01-16,121,5,False,2022,123,20,28,Toronto Raptors,Toronto Raptors,New York Knicks
230,230,858021,2023-01-17,110,4,False,2022,120,13,23,Philadelphia 76ers,Philadelphia 76ers,LA Clippers
231,231,858025,2023-01-18,115,4,False,2022,114,15,6,Cleveland Cavaliers,Cleveland Cavaliers,Memphis Grizzlies
232,232,858064,2023-01-23,120,4,False,2022,102,29,4,Charlotte Hornets,Charlotte Hornets,Utah Jazz
233,233,858046,2023-01-21,113,4,False,2022,104,18,11,Houston Rockets,Houston Rockets,Minnesota Timberwolves
234,234,858057,2023-01-22,112,4,False,2022,121,25,14,Los Angeles Lakers,Los Angeles Lakers,Portland Trail Blazers
